,Temperature,DewPoint,Pressure,Date
0,49.3,37.7,1.0,20100101
1,49.8,38.4,1.0,20100102
2,49.9,38.3,1.0,20100103
3,49.7,38.0,1.0,20100104
4,49.8,38.1,1.0,20100105
5,49.7,37.8,1.0,20100106
6,49.5,37.5,1.0,20100107
7,49.4,37.4,1.0,20100108
8,49.4,37.6,1.0,20100109
9,49.4,37.6,1.0,20100110
10,49.2,37.6,1.0,20100111
11,49.3,37.8,1.0,20100112
12,49.3,37.8,1.0,20100113
13,49.2,37.4,1.0,20100114
14,49.2,37.4,1.0,20100115
15,49.2,37.5,1.0,20100116
16,49.2,37.4,1.0,20100117
17,49.4,37.6,1.0,20100118
18,49.6,37.8,1.0,20100119
19,49.7,37.9,1.0,20100120
20,50.2,38.8,1.0,20100121
21,50.6,39.4,1.0,20100122
22,50.8,39.5,1.0,20100123
23,50.8,39.4,1.0,20100124
24,51.0,39.5,1.0,20100125
25,51.1,39.6,1.0,20100126
26,51.1,39.6,1.0,20100127
27,51.2,39.8,1.0,20100128
28,51.2,40.0,1.0,20100129
29,51.1,40.0,1.0,20100130
30,51.2,40.0,1.0,20100131
31,51.3,40.3,1.0,20100201
32,51.5,40.8,1.0,20100202
33,51.5,41.1,1.0,20100203
34,51.4,40.8,1.0,20100204
35,51.3,40.4,1.0,20100205
36,51.3,40.2,1.0,20100206
37,51.5,40.5,1.0,20100207
38,51.9,40.8,1.0,20100208
39,52.0,40.8,1.0,20100209
40,52.3,40.9,1.0,20100210
41,52.6,41.2,1.0,20100211
42,53.0,41.4,1.0,20100212
43,53.6,41.9,1.0,20100213
44,54.2,42.4,1.0,20100214
45,54.5,42.6,1.0,20100215
46,54.8,42.7,1.0,20100216
47,55.0,42.6,1.0,20100217
48,55.3,42.8,1.0,20100218
49,55.6,43.0,1.0,20100219
50,55.9,43.3,1.0,20100220
51,55.9,43.3,1.0,20100221
52,55.9,43.4,1.0,20100222
53,56.0,43.5,1.0,20100223
54,56.3,44.0,1.0,20100224
55,56.5,44.2,1.0,20100225
56,56.7,44.3,1.0,20100226
57,56.9,44.4,1.0,20100227
58,57.0,44.4,1.0,20100228
59,57.2,44.6,1.0,20100301
60,57.5,44.7,1.0,20100302
61,57.8,45.0,1.0,20100303
62,58.1,45.4,1.0,20100304
63,58.5,45.8,1.0,20100305
64,58.8,46.2,1.0,20100306
65,59.1,46.4,1.0,20100307
66,59.4,46.8,1.0,20100308
67,59.8,47.1,1.0,20100309
68,60.0,47.3,1.0,20100310
69,60.4,47.6,1.0,20100311
70,60.7,47.9,1.0,20100312
71,60.9,48.1,1.0,20100313
72,61.3,48.3,1.0,20100314
73,61.0,48.5,1.0,20100315
74,61.1,48.6,1.0,20100316
75,61.2,49.0,1.0,20100317
76,61.4,49.4,1.0,20100318
77,61.5,49.6,1.0,20100319
78,61.6,49.8,1.0,20100320
79,61.8,50.1,1.0,20100321
80,61.9,50.2,1.0,20100322
81,62.0,50.2,1.0,20100323
82,62.2,50.3,1.0,20100324
83,62.4,50.4,1.0,20100325
84,62.6,50.6,1.0,20100326
85,62.9,50.8,1.0,20100327
86,63.3,51.4,1.0,20100328
87,63.7,51.7,1.0,20100329
88,63.9,51.9,1.0,20100330
89,64.1,52.1,1.0,20100331
90,64.4,52.0,1.0,20100401
91,64.5,52.0,1.0,20100402
92,64.8,52.1,1.0,20100403
93,64.9,52.1,1.0,20100404
94,65.2,52.3,1.0,20100405
95,65.6,52.7,1.0,20100406
96,65.9,52.9,1.0,20100407
97,66.1,53.1,1.0,20100408
98,66.4,53.3,1.0,20100409
99,66.6,53.6,1.0,20100410
100,66.8,54.1,1.0,20100411
101,67.1,54.6,1.0,20100412
102,67.4,55.0,1.0,20100413
103,67.8,55.5,1.0,20100414
104,68.2,55.9,1.0,20100415
105,68.6,56.4,1.0,20100416
106,69.0,56.8,1.0,20100417
107,69.3,57.1,1.0,20100418
108,69.7,57.6,1.0,20100419
109,69.9,57.8,1.0,20100420
110,70.1,58.0,1.0,20100421
111,70.5,58.7,1.0,20100422
112,70.9,59.2,1.0,20100423
113,71.1,59.6,1.0,20100424
114,71.3,59.9,1.0,20100425
115,71.4,59.9,1.0,20100426
116,71.5,59.9,1.0,20100427
117,71.7,60.2,1.0,20100428
118,71.9,60.4,1.0,20100429
119,72.2,60.7,1.0,20100430
120,72.3,60.9,1.0,20100501
121,72.6,61.3,1.0,20100502
122,72.8,61.6,1.0,20100503
123,73.0,61.9,1.0,20100504
